#! FIELDS energy vol b1.bias der_energy der_vol
#! SET min_energy -15000
#! SET max_energy -12250
#! SET nbins_energy  201
#! SET periodic_energy false
#! SET min_vol 6.5
#! SET max_vol 8.25
#! SET nbins_vol  201
#! SET periodic_vol false
 -15000.000000000    6.500000000 -111.942075490   -0.127640651 -134.718991219
 -14986.250000000    6.500000000 -110.352058162   -0.104488251 -135.599145483
 -14972.500000000    6.500000000 -109.046723025   -0.086121733 -136.002206718
 -14958.750000000    6.500000000 -107.964683537   -0.071908531 -136.085141698
 -14945.000000000    6.500000000 -107.052838029   -0.061275439 -135.979090410
 -14931.250000000    6.500000000 -106.265581858   -0.053704519 -135.792104974
 -14917.500000000    6.500000000 -105.564074479   -0.048729210 -135.611685432
 -14903.750000000    6.500000000 -104.915558644   -0.045930631 -135.507123112
 -14890.000000000    6.500000000 -104.292729049   -0.044934084 -135.531661831
 -14876.250000000    6.500000000 -103.673147828   -0.045405739 -135.724486903
 -14862.500000000    6.500000000 -103.038704405   -0.047049494 -136.112551471
 -14848.750000000    6.500000000 -102.375117296   -0.049604011 -136.712249375
 -14835.000000000    6.500000000 -101.671475554   -0.052839915 -137.530943388
 -14821.250000000    6.500000000 -100.919817614   -0.056557153 -138.568357332
 -14807.500000000    6.500000000 -100.114745413   -0.060582502 -139.817840215
 -14793.750000000    6.500000000  -99.253071715   -0.064767232 -141.267510250
 -14780.000000000    6.500000000  -98.333498673   -0.068984897 -142.901286247
 -14766.250000000    6.500000000  -97.356325723   -0.073129277 -144.699813606
 -14752.500000000    6.500000000  -96.323184993   -0.077112435 -146.641291799
 -14738.750000000    6.500000000  -95.236802496   -0.080862905 -148.702209954
 -14725.000000000    6.500000000  -94.100783407   -0.084324002 -150.857996852
 -14711.250000000    6.500000000  -92.919419858   -0.087452236 -153.083591384
 -14697.500000000    6.500000000  -91.697519706   -0.090215845 -155.353939237
 -14683.750000000    6.500000000  -90.440254807   -0.092593426 -157.644421284
 -14670.000000000    6.500000000  -89.153027425   -0.094572666 -159.931218959
 -14656.250000000    6.500000000  -87.841353415   -0.096149167 -162.191621570
 -14642.500000000    6.500000000  -86.510760947   -0.097325363 -164.404280325
 -14628.750000000    6.500000000  -85.166703533   -0.098109519 -166.549413564
 -14615.000000000    6.500000000  -83.814486232   -0.098514816 -168.608967485
 -14601.250000000    6.500000000  -82.459203931   -0.098558511 -170.566736424
 -14587.500000000    6.500000000  -81.105690675   -0.098261166 -172.408446519
 -14573.750000000    6.500000000  -79.758479061   -0.097645954 -174.121806404
 -14560.000000000    6.500000000  -78.421768770   -0.096738026 -175.696528353
 -14546.250000000    6.500000000  -77.099403364   -0.095563941 -177.124323100
 -14532.500000000    6.500000000  -75.794854508   -0.094151153 -178.398871393
 -14518.750000000    6.500000000  -74.511212855   -0.092527557 -179.515775126
 -14505.000000000    6.500000000  -73.251184844   -0.090721080 -180.472490730
 -14491.250000000    6.500000000  -72.017094731   -0.088759329 -181.268247342
 -14477.500000000    6.500000000  -70.810891193   -0.086669279 -181.903952076
 -14463.750000000    6.500000000  -69.634157924   -0.084477002 -182.382084602
 -14450.000000000    6.500000000  -68.488127634   -0.082207444 -182.706583035
 -14436.250000000    6.500000000  -67.373698927   -0.079884227 -182.882723041
 -14422.500000000    6.500000000  -66.291455592   -0.077529496 -182.916991876
 -14408.750000000    6.500000000  -65.241687817   -0.075163793 -182.816958977
 -14395.000000000    6.500000000  -64.224414937   -0.072805960 -182.591144555
 -14381.250000000    6.500000000  -63.239409316   -0.070473069 -182.248887553
 -14367.500000000    6.500000000  -62.286221003   -0.068180379 -181.800214176
 -14353.750000000    6.500000000  -61.364202854   -0.065941311 -181.255708108
 -14340.000000000    6.500000000  -60.472535813   -0.063767450 -180.626383403
 -14326.250000000    6.500000000  -59.610254080   -0.061668561 -179.923560948
 -14312.500000000    6.500000000  -58.776269940   -0.059652619 -179.158749286
 -14298.750000000    6.500000000  -57.969398028   -0.057725862 -178.343530480
 -14285.000000000    6.500000000  -57.188378841   -0.055892847 -177.489451637
 -14271.250000000    6.500000000  -56.431901322   -0.054156527 -176.607922596
 -14257.500000000    6.500000000  -55.698624386   -0.052518332 -175.710120204
 -14243.750000000    6.500000000  -54.987197247   -0.050978260 -174.806899562
 -14230.000000000    6.500000000  -54.296278443   -0.049534973 -173.908712486
 -14216.250000000    6.500000000  -53.624553483   -0.048185904 -173.025533424
 -14202.500000000    6.500000000  -52.970751026   -0.046927361 -172.166792961
 -14188.750000000    6.500000000  -52.333657561   -0.045754643 -171.341318999
 -14175.000000000    6.500000000  -51.712130535   -0.044662149 -170.557285646
 -14161.250000000    6.500000000  -51.105109907   -0.043643498 -169.822169781
 -14147.500000000    6.500000000  -50.511628129   -0.042691637 -169.142715228
 -14133.750000000    6.500000000  -49.930818542   -0.041798963 -168.524904415
 -14120.000000000    6.500000000  -49.361922217   -0.040957428 -167.973937358
 -14106.250000000    6.500000000  -48.804293250   -0.040158656 -167.494217768
 -14092.500000000    6.500000000  -48.257402558   -0.039394050 -167.089346043
 -14078.750000000    6.500000000  -47.720840223   -0.038654893 -166.762118883
 -14065.000000000    6.500000000  -47.194316421   -0.037932448 -166.514535223
 -14051.250000000    6.500000000  -46.677661013   -0.037218058 -166.347808172
 -14037.500000000    6.500000000  -46.170821853   -0.036503233 -166.262382601
 -14023.750000000    6.500000000  -45.673861896   -0.035779736 -166.257958028
 -14010.000000000    6.500000000  -45.186955168   -0.035039659 -166.333516408
 -13996.250000000    6.500000000  -44.710381704   -0.034275503 -166.487354441
