#! FIELDS energy vol b1.bias der_energy der_vol
#! SET min_energy -15000
#! SET max_energy -12250
#! SET nbins_energy  201
#! SET periodic_energy false
#! SET min_vol 6.5
#! SET max_vol 8.25
#! SET nbins_vol  201
#! SET periodic_vol false
 -15000.000000000    6.500000000 -244.294732233   -0.310309442 -399.659938561
 -14986.250000000    6.500000000 -240.225180073   -0.282253646 -401.185517859
 -14972.500000000    6.500000000 -236.516341583   -0.257780354 -402.172131065
 -14958.750000000    6.500000000 -233.121434914   -0.236533882 -402.810630910
 -14945.000000000    6.500000000 -229.998379258   -0.218185846 -403.259435371
 -14931.250000000    6.500000000 -227.109430786   -0.202433530 -403.648028979
 -14917.500000000    6.500000000 -224.420840551   -0.188998323 -404.080202004
 -14903.750000000    6.500000000 -221.902533365   -0.177624230 -404.637041382
 -14890.000000000    6.500000000 -219.527806663   -0.168076450 -405.379686707
 -14876.250000000    6.500000000 -217.273048426   -0.160140030 -406.351864171
 -14862.500000000    6.500000000 -215.117473232   -0.153618574 -407.582210819
 -14848.750000000    6.500000000 -213.042875575   -0.148333017 -409.086401036
 -14835.000000000    6.500000000 -211.033399602   -0.144120468 -410.869086714
 -14821.250000000    6.500000000 -209.075324428   -0.140833099 -412.925662129
 -14807.500000000    6.500000000 -207.156864269   -0.138337097 -415.243864073
 -14793.750000000    6.500000000 -205.267982609   -0.136511675 -417.805217424
 -14780.000000000    6.500000000 -203.400219674   -0.135248124 -420.586335861
 -14766.250000000    6.500000000 -201.546532506   -0.134448925 -423.560087078
 -14752.500000000    6.500000000 -199.701146958   -0.134026906 -426.696631421
 -14738.750000000    6.500000000 -197.859420955   -0.133904446 -429.964342511
 -14725.000000000    6.500000000 -196.017718381   -0.134012723 -433.330618032
 -14711.250000000    6.500000000 -194.173293010   -0.134291006 -436.762588497
 -14697.500000000    6.500000000 -192.324181871   -0.134685990 -440.227731463
 -14683.750000000    6.500000000 -190.469107514   -0.135151167 -443.694398308
 -14670.000000000    6.500000000 -188.607388630   -0.135646238 -447.132260355
 -14656.250000000    6.500000000 -186.738858512   -0.136136562 -450.512680802
 -14642.500000000    6.500000000 -184.863790871   -0.136592636 -453.809018594
 -14628.750000000    6.500000000 -182.982832537   -0.136989612 -456.996870086
 -14615.000000000    6.500000000 -181.096942585   -0.137306849 -460.054254006
 -14601.250000000    6.500000000 -179.207337478   -0.137527482 -462.961744997
 -14587.500000000    6.500000000 -177.315441795   -0.137638041 -465.702560676
 -14573.750000000    6.500000000 -175.422844161   -0.137628077 -468.262606917
 -14560.000000000    6.500000000 -173.531258018   -0.137489828 -470.630485783
 -14546.250000000    6.500000000 -171.642486860   -0.137217908 -472.797470288
 -14532.500000000    6.500000000 -169.758393615   -0.136809014 -474.757449907
 -14518.750000000    6.500000000 -167.880873838   -0.136261658 -476.506850530
 -14505.000000000    6.500000000 -166.011832422   -0.135575931 -478.044532311
